,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.8628647298707046,Wakefulness,Precision,5,EMG
0,0.5189939012237413,Nrem,Precision,5,EMG
0,0.20454545454545456,Rem,Precision,5,EMG
0,0.7255449229133439,Wakefulness,Recall,5,EMG
0,0.7482758620689656,Nrem,Recall,5,EMG
0,0.06976744186046512,Rem,Recall,5,EMG
0,0.7255449229133439,Wakefulness,Sensitivity,5,EMG
0,0.7482758620689656,Nrem,Sensitivity,5,EMG
0,0.06976744186046512,Rem,Sensitivity,5,EMG
0,0.7828828828828829,Wakefulness,Specificity,5,EMG
0,0.6998258706467662,Nrem,Specificity,5,EMG
0,0.9872773536895675,Rem,Specificity,5,EMG
0,0.8663886162904809,Wakefulness,Precision,5,Cerebral EEG
0,0.8367988232934412,Nrem,Precision,5,Cerebral EEG
0,0.9277748274030801,Rem,Precision,5,Cerebral EEG
0,0.9384284233743456,Wakefulness,Recall,5,Cerebral EEG
0,0.7215080417363233,Nrem,Recall,5,Cerebral EEG
0,0.6662852784134249,Rem,Recall,5,Cerebral EEG
0,0.9384284233743456,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.7215080417363233,Nrem,Sensitivity,5,Cerebral EEG
0,0.6662852784134249,Rem,Sensitivity,5,Cerebral EEG
0,0.7272772797836646,Wakefulness,Specificity,5,Cerebral EEG
0,0.9393585571261769,Nrem,Specificity,5,Cerebral EEG
0,0.9975262832405689,Rem,Specificity,5,Cerebral EEG
0,0.802503100687789,Wakefulness,Precision,5,Cerebellar EEG
0,0.7180573663624511,Nrem,Precision,5,Cerebellar EEG
0,0.22380467955239064,Rem,Precision,5,Cerebellar EEG
0,0.9456830804389997,Wakefulness,Recall,5,Cerebellar EEG
0,0.5079840894679195,Nrem,Recall,5,Cerebellar EEG
0,0.08390541571319603,Rem,Recall,5,Cerebellar EEG
0,0.9456830804389997,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.5079840894679195,Nrem,Sensitivity,5,Cerebellar EEG
0,0.08390541571319603,Rem,Sensitivity,5,Cerebellar EEG
0,0.5614202013120336,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9140436737634462,Nrem,Specificity,5,Cerebellar EEG
0,0.9861217214158391,Rem,Specificity,5,Cerebellar EEG
0,0.7563947969315237,Wakefulness,Precision,5,EMG
0,0.48454902817209,Nrem,Precision,5,EMG
0,0.2736156351791531,Rem,Precision,5,EMG
0,0.783449815311844,Wakefulness,Recall,5,EMG
0,0.511615841355854,Nrem,Recall,5,EMG
0,0.032036613272311214,Rem,Recall,5,EMG
0,0.783449815311844,Wakefulness,Sensitivity,5,EMG
0,0.511615841355854,Nrem,Sensitivity,5,EMG
0,0.032036613272311214,Rem,Sensitivity,5,EMG
0,0.5245129951424709,Wakefulness,Specificity,5,EMG
0,0.7654584751447097,Nrem,Specificity,5,EMG
0,0.9959438320782859,Rem,Specificity,5,EMG
0,0.8846781597470162,Wakefulness,Precision,5,Cerebral EEG
0,0.8136571138726858,Nrem,Precision,5,Cerebral EEG
0,0.8421253822629969,Rem,Precision,5,Cerebral EEG
0,0.9207453020490498,Wakefulness,Recall,5,Cerebral EEG
0,0.739441083261308,Nrem,Recall,5,Cerebral EEG
0,0.8575321136629038,Rem,Recall,5,Cerebral EEG
0,0.9207453020490498,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.739441083261308,Nrem,Sensitivity,5,Cerebral EEG
0,0.8575321136629038,Rem,Sensitivity,5,Cerebral EEG
0,0.773037542662116,Wakefulness,Specificity,5,Cerebral EEG
0,0.9269722946949932,Nrem,Specificity,5,Cerebral EEG
0,0.9924951391034145,Rem,Specificity,5,Cerebral EEG
0,0.765207977682475,Wakefulness,Precision,5,Cerebellar EEG
0,0.7968019680196802,Nrem,Precision,5,Cerebellar EEG
0,0.3293871866295265,Rem,Precision,5,Cerebellar EEG
0,0.975581271897229,Wakefulness,Recall,5,Cerebellar EEG
0,0.37326418899452607,Nrem,Recall,5,Cerebellar EEG
